************* Module test_file
test_file.py:616:0: C0305: Trailing newlines (trailing-newlines)
test_file.py:42:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:43:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:44:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:45:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:46:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:47:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:48:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:49:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:50:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:51:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:52:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:53:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:54:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:55:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:56:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:57:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:58:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:59:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:60:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:61:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:62:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:63:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:64:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:65:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:66:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:67:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:68:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:69:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:70:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:71:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:72:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:73:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:74:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:75:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:76:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:77:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:78:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:79:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:80:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:81:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:82:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:83:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:84:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:85:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:86:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:87:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:88:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:89:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:93:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:94:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:95:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:96:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:97:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:98:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:99:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:100:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:101:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:102:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:103:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:104:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:105:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:106:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:107:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:108:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:109:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:110:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:111:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:112:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:113:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:114:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:115:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:116:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:117:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:118:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:119:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:120:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:121:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:122:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:123:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:124:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:125:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:126:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:127:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:128:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:129:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:130:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:131:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:132:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:133:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:134:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:135:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:136:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:137:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:138:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:139:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:140:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:141:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:142:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:143:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:144:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:145:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:146:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:147:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:148:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:149:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:150:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:151:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:152:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:153:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:154:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:155:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:156:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:157:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:158:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:159:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:160:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:161:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:162:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:163:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:164:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:165:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:166:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:167:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:168:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:169:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:170:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:171:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:172:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:173:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:174:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:177:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:178:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:179:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:180:4: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:188:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:189:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:190:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:191:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:192:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:193:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:194:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:195:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:196:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:197:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:198:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:199:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:200:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:201:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:202:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:203:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:204:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:205:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:206:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:207:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:208:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:209:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:210:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:211:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:212:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:213:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:214:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:215:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:216:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:217:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:218:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:219:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:220:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:221:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:222:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:223:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:224:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:225:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:226:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:227:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:228:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:229:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:230:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:231:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:232:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:233:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:234:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:235:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:236:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:237:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:238:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:239:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:240:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:241:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:242:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:243:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:244:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:245:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:246:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:247:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:248:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:249:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:250:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:251:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:252:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:253:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:254:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:255:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:256:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:257:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:258:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:259:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:260:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:261:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:262:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:263:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:264:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:265:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:266:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:267:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:268:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:269:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:272:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:273:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:274:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:275:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:276:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:277:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:278:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:279:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:280:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:281:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:282:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:283:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:284:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:285:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:286:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:287:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:288:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:289:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:290:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:291:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:292:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:293:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:294:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:295:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:296:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:297:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:298:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:299:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:300:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:301:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:302:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:303:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:304:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:305:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:306:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:307:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:308:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:309:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:310:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:311:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:312:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:313:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:314:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:315:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:316:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:317:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:318:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:319:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:320:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:321:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:322:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:323:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:324:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:325:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:326:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:327:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:328:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:329:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:330:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:331:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:332:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:333:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:334:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:335:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:336:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:337:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:338:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:339:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:340:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:341:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:342:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:343:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:344:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:345:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:346:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:347:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:348:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:349:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:350:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:351:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:352:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:353:12: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:360:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:361:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:362:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:363:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:364:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:365:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:366:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:367:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:368:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:369:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:370:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:371:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:372:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:373:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:374:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:375:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:376:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:377:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:378:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:379:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:380:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:381:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:382:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:383:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:384:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:385:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:386:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:387:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:388:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:389:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:390:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:391:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:392:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:393:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:394:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:395:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:396:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:397:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:398:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:399:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:400:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:401:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:402:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:403:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:404:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:405:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:406:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:407:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:408:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:409:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:410:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:411:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:412:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:413:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:414:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:415:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:416:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:417:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:418:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:419:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:420:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:421:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:422:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:423:8: W0107: Unnecessary pass statement (unnecessary-pass)
test_file.py:424:8: W0107: Unnecessary pass statement (unnecessary-pass)
